Nome da pessoa;Idade da pessoa;Documento CPF;Data de Nascimento;Sexo da pessoa;Signo da Pessoa;Nome da Mãe;Telefone Fixo;Telefone Celular;Altura da Pessoa;Peso da Pessoa;Tipo Sanguíneo da Pessoa
Esther Maya Vanessa da Rocha;78;687.101.318-09;02/08/1943;Feminino;Leão;Simone Emanuelly Laura;(11) 3929-4815;(11) 99135-0429;1,75;49;A+
Daiane Sebastiana Isadora Sales;67;453.135.598-93;10/08/1954;Feminino;Leão;Sandra Evelyn Joana;(16) 2623-2848;(16) 99518-1877;1,59;71;AB-
Louise Camila da Conceição;50;468.894.948-06;21/12/1971;Feminino;Sagitário;Bianca Maya Isis;(11) 2619-5421;(11) 98436-3654;1,56;51;O-
Lucca Benício Giovanni Almeida;77;527.055.188-86;09/01/1944;Masculino;Capricórnio;Sophia Tânia;(19) 2584-0038;(19) 99570-0543;1,76;98;B-
Marcela Marina Carvalho;25;235.783.038-79;03/10/1996;Feminino;Libra;Sônia Maria;(11) 2878-1314;(11) 98853-1923;1,58;70;B-
Carla Manuela Campos;37;768.316.018-04;25/05/1984;Feminino;Gêmeos;Tânia Mariane;(11) 2821-4605;(11) 99133-4897;1,68;65;O+
Davi Renan Gonçalves;78;106.131.188-04;17/08/1943;Masculino;Leão;Maya Luiza;(16) 3656-9761;(16) 99328-2294;1,78;105;AB-
Yasmin Marcela Gonçalves;20;105.034.568-10;27/06/2001;Feminino;Câncer;Marlene Alícia Manuela;(11) 3595-2910;(11) 98647-8729;1,7;58;O-
Valentina Carla Marcela Carvalho;67;965.157.938-20;14/07/1954;Feminino;Câncer;Tatiane Julia;(19) 3902-3046;(19) 99623-9126;1,53;75;B+
Andreia Débora Barbosa;20;232.972.958-80;02/07/2001;Feminino;Câncer;Sophia Evelyn Carolina;(12) 3778-9784;(12) 98939-4366;1,78;77;A-
Cláudio Emanuel Costa;31;915.945.408-37;16/03/1990;Masculino;Peixes;Alana Heloisa Rita;(19) 3937-3822;(19) 99350-3023;1,78;110;B-
Geraldo Cauê Araújo;33;013.199.708-42;02/08/1988;Masculino;Leão;Laura Teresinha Sebastiana;(16) 2753-5027;(16) 99953-0441;1,83;61;B-
Kauê Guilherme Gabriel Brito;22;529.985.818-38;19/02/1999;Masculino;Aquário;Sara Emilly Julia;(19) 2914-6713;(19) 99492-7043;1,98;100;O-
Luiz Henrique Kauê Cavalcanti;77;376.441.708-04;12/11/1944;Masculino;Escorpião;Giovana Bianca;(11) 2574-4980;(11) 98376-0400;1,65;63;B+
Iago Victor de Paula;23;635.816.108-33;04/12/1998;Masculino;Sagitário;Silvana Benedita;(11) 2652-1271;(11) 98738-1194;1,89;86;B-
Vanessa Julia Ayla Cavalcanti;45;895.338.838-47;27/07/1976;Feminino;Leão;Adriana Bárbara Patrícia;(11) 2994-2879;(11) 99592-1308;1,59;54;A+
Isabelly Daiane Juliana Porto;46;129.636.358-93;15/10/1975;Feminino;Libra;Isabelly Fernanda;(11) 2738-0003;(11) 99446-9145;1,83;68;B+
Rosa Amanda Castro;67;604.607.958-64;23/12/1954;Feminino;Capricórnio;Louise Silvana Elisa;(11) 2554-9346;(11) 99706-9381;1,55;58;AB-
Vicente Danilo Eduardo Lopes;43;467.981.088-22;22/01/1978;Masculino;Aquário;Mariane Ayla;(11) 2552-8486;(11) 98928-9678;1,81;107;A-
Augusto Oliver Márcio Mendes;31;600.315.888-32;26/06/1990;Masculino;Câncer;Carla Emilly Ester;(11) 2981-4448;(11) 99283-1766;1,74;106;B-
Cauê Davi Mendes;22;525.499.518-16;18/12/1999;Masculino;Sagitário;Luzia Carolina Nicole;(11) 3735-7998;(11) 98817-3614;1,7;77;A-
Liz Francisca Jéssica Rocha;56;483.701.938-20;02/08/1965;Feminino;Leão;Fabiana Laís;(11) 2779-8016;(11) 99270-3859;1,61;78;O+
Benjamin Felipe Campos;78;182.062.348-37;21/07/1943;Masculino;Câncer;Marli Antonella;(16) 3597-0923;(16) 98686-8103;1,84;84;O+
Gabriela Sueli Raquel Monteiro;67;806.666.358-70;23/06/1954;Feminino;Câncer;Melissa Giovanna;(16) 3908-4014;(16) 98188-6642;1,55;68;A-
Mateus Felipe Lorenzo Nunes;41;730.870.638-94;03/07/1980;Masculino;Câncer;Caroline Lorena;(15) 3535-9072;(15) 98652-7034;1,73;103;O+
Pietra Sara Jéssica Aparício;36;883.737.568-92;18/10/1985;Feminino;Libra;Flávia Sônia;(19) 3823-3395;(19) 98227-5253;1,57;51;O+
Renan Ian Peixoto;56;863.115.908-59;21/04/1965;Masculino;Touro;Sophie Luiza;(19) 3930-0149;(19) 99520-0428;1,97;98;B-
Otávio Ryan Ramos;31;767.631.748-70;04/02/1990;Masculino;Aquário;Isadora Fátima;(11) 2504-1601;(11) 99359-9905;1,68;84;AB-
Mateus Juan Ruan Jesus;61;774.906.748-59;18/05/1960;Masculino;Touro;Priscila Fabiana Lívia;(19) 2719-1485;(19) 98940-0508;1,71;98;AB+
Cauã Daniel Martins;21;556.842.168-46;25/08/2000;Masculino;Virgem;Betina Rebeca Cláudia;(11) 3592-0318;(11) 99731-1436;1,96;91;AB+
Mariah Rayssa Aragão;51;428.160.068-08;17/07/1970;Feminino;Câncer;Alícia Luzia Lavínia;(14) 3721-9516;(14) 98301-6440;1,58;64;O-
Eloá Lavínia Moreira;24;446.424.618-41;13/04/1997;Feminino;Áries;Carla Bárbara Marcela;(11) 2871-6742;(11) 99975-0760;1,54;45;AB+
Renan Kaique Raul Oliveira;60;381.377.858-41;12/11/1961;Masculino;Escorpião;Flávia Heloisa Marcela;(11) 2603-6332;(11) 98168-9219;1,63;57;A-
Luís Kevin Ruan da Mata;46;619.437.808-54;07/01/1975;Masculino;Capricórnio;Malu Sueli;(16) 3892-5163;(16) 98380-9338;1,72;104;A+
Ian Joaquim Baptista;78;961.157.948-97;08/02/1943;Masculino;Aquário;Alana Silvana;(14) 2794-2565;(14) 98185-0355;1,6;105;B+
Oliver Benício Mendes;27;068.049.078-76;12/03/1994;Masculino;Peixes;Mirella Laura;(11) 3881-1950;(11) 98917-8127;1,68;105;O-
Lorena Elza Rezende;68;687.761.198-58;17/06/1953;Feminino;Gêmeos;Francisca Eliane Mirella;(11) 2570-0970;(11) 98851-2190;1,67;51;B+
Josefa Aurora Caroline Teixeira;50;254.938.928-04;25/10/1971;Feminino;Escorpião;Milena Teresinha Isadora;(11) 3633-6492;(11) 99259-6474;1,84;60;B-
Carolina Juliana Gomes;77;171.498.748-51;25/02/1944;Feminino;Peixes;Milena Josefa;(12) 2653-2182;(12) 98180-2973;1,5;74;B+
Joaquim Nelson Novaes;27;226.135.708-73;09/12/1994;Masculino;Sagitário;Sarah Alícia;(16) 2832-5528;(16) 98359-0104;1,84;96;AB+
Julia Ana Beatriz Peixoto;43;243.753.748-10;22/12/1978;Feminino;Capricórnio;Cecília Stella Rafaela;(16) 2867-5156;(16) 98777-1741;1,65;87;A+
Rosa Isabelly Barbosa;21;520.975.828-18;13/09/2000;Feminino;Virgem;Aparecida Jaqueline;(16) 2899-7302;(16) 98456-8341;1,77;45;AB-
Miguel Ruan André Rodrigues;25;274.137.338-89;13/04/1996;Masculino;Áries;Raimunda Jennifer Olivia;(17) 3730-0095;(17) 98776-8977;1,71;54;B+
Kamilly Clarice Liz Lima;26;708.446.968-03;21/01/1995;Feminino;Aquário;Sophia Fabiana;(16) 3500-1732;(16) 98188-7185;1,78;60;A+
Fernanda Isabella da Cruz;36;166.529.928-25;17/08/1985;Feminino;Leão;Clarice Jennifer;(11) 3633-6869;(11) 99543-7162;1,5;65;O-
Bianca Andrea Patrícia da Paz;41;219.862.578-43;08/08/1980;Feminino;Leão;Lavínia Evelyn Márcia;(13) 3629-7009;(13) 98619-1099;1,8;66;O-
Matheus Thomas Figueiredo;43;982.367.238-52;02/02/1978;Masculino;Aquário;Josefa Débora;(12) 2934-4077;(12) 99650-0080;1,92;82;A-
Levi Cauã Vitor da Mota;51;028.167.078-14;14/08/1970;Masculino;Leão;Stefany Isabelly;(11) 2515-6943;(11) 99191-5230;1,78;53;O+
Bernardo Guilherme Castro;24;940.787.988-70;19/12/1997;Masculino;Sagitário;Josefa Priscila;(18) 3788-8616;(18) 98662-3766;1,98;101;AB+
Amanda Emilly Rodrigues;41;143.415.998-10;04/08/1980;Feminino;Leão;Carolina Elaine Aline;(11) 2613-8855;(11) 99689-2606;1,82;60;O+
Joana Gabrielly Luiza Pinto;27;286.310.548-52;17/02/1994;Feminino;Aquário;Isis Fernanda Olivia;(11) 3651-5846;(11) 98818-6763;1,69;67;O+
Pedro Henrique Renan Santos;21;439.653.258-09;10/05/2000;Masculino;Touro;Clara Eliane;(11) 2694-7887;(11) 99844-5576;1,69;54;B+
Matheus Oliver da Cruz;23;972.113.908-40;19/02/1998;Masculino;Aquário;Gabriela Jéssica Mirella;(17) 3569-1106;(17) 98891-1712;1,81;104;O+
Severino Sérgio Gustavo Sales;27;317.795.758-40;04/06/1994;Masculino;Gêmeos;Caroline Larissa;(11) 2670-1990;(11) 99207-2288;1,86;89;O-
Oliver Juan Ricardo Barbosa;50;055.396.998-66;05/03/1971;Masculino;Peixes;Isabella Isis;(11) 3755-3537;(11) 98789-8336;1,71;58;A+
Vanessa Valentina Ribeiro;26;062.301.558-77;04/03/1995;Feminino;Peixes;Rita Cristiane;(17) 3640-5111;(17) 98550-7670;1,52;81;B+
Andrea Emanuelly da Conceição;22;840.877.818-87;16/04/1999;Feminino;Áries;Valentina Laura Brenda;(11) 2525-6373;(11) 98534-5249;1,69;65;A+
Mateus Joaquim Pedro Henrique de Paula;27;865.458.208-18;01/06/1994;Masculino;Gêmeos;Laís Evelyn Marina;(11) 3857-3245;(11) 98648-0995;1,94;65;B-
Roberto Vicente Augusto da Costa;67;230.253.418-23;23/08/1954;Masculino;Virgem;Evelyn Sophie;(14) 2539-9603;(14) 98749-5532;1,8;90;B+
Marlene Manuela Moura;67;848.830.028-02;09/07/1954;Feminino;Câncer;Catarina Sueli Isabel;(15) 3943-2083;(15) 98414-3676;1,6;67;O+
Rafael Jorge Diogo da Costa;69;203.555.628-71;10/01/1952;Masculino;Capricórnio;Brenda Rosângela Raquel;(11) 2860-2389;(11) 98825-8386;1,86;81;AB-
Patrícia Aparecida Campos;61;101.660.218-90;24/11/1960;Feminino;Sagitário;Benedita Mariana;(11) 3501-0528;(11) 99920-7758;1,68;87;AB-
Jorge Bernardo Lopes;45;172.544.738-02;06/01/1976;Masculino;Capricórnio;Juliana Laís Isabelle;(11) 2812-5604;(11) 99723-4946;1,67;62;A+
Erick Oliver Pietro Duarte;67;167.282.708-68;21/11/1954;Masculino;Escorpião;Marcela Alessandra;(13) 3647-3620;(13) 99738-2392;1,7;92;O-
Ryan Daniel Santos;60;947.776.448-55;20/11/1961;Masculino;Escorpião;Elza Catarina Raquel;(11) 3761-3731;(11) 98984-1552;1,65;93;B-
Yago Mateus da Mata;59;234.618.028-91;23/11/1962;Masculino;Sagitário;Luna Liz;(11) 2994-4322;(11) 99990-2935;1,73;52;O+
Diogo Edson Jesus;60;043.191.868-69;02/06/1961;Masculino;Gêmeos;Daniela Stella;(17) 2865-8004;(17) 98146-3555;1,66;84;AB+
Iago Vinicius Miguel Lopes;61;877.073.578-68;11/11/1960;Masculino;Escorpião;Nina Analu;(11) 2776-5067;(11) 98889-3400;1,62;75;B+
João Kaique Vieira;24;852.414.798-99;23/07/1997;Masculino;Leão;Josefa Liz;(19) 3756-8259;(19) 99987-1560;1,94;91;A+
Cláudio Henry Otávio Mendes;31;303.942.848-95;25/06/1990;Masculino;Câncer;Carla Giovanna Vanessa;(11) 3610-4619;(11) 98126-7221;1,89;78;O-
Mário Daniel Cauã Drumond;31;952.556.588-20;08/06/1990;Masculino;Gêmeos;Silvana Antônia Isabela;(17) 3958-3069;(17) 98937-9756;1,91;94;A+
Jorge Benício Victor Teixeira;37;235.361.458-25;19/05/1984;Masculino;Touro;Stefany Alice Caroline;(11) 3655-6652;(11) 99812-4221;1,93;90;B+
Luís Nicolas Figueiredo;37;192.351.798-82;21/05/1984;Masculino;Gêmeos;Adriana Alice Márcia;(19) 2847-2025;(19) 98484-2465;1,86;68;B+
Leandro Cauê Gonçalves;25;093.316.298-77;12/12/1996;Masculino;Sagitário;Giovana Rita;(13) 3610-1144;(13) 98982-4817;1,9;73;O+
Cristiane Flávia Rosângela da Silva;61;597.368.118-16;14/04/1960;Feminino;Áries;Mariana Raquel Regina;(11) 2589-2618;(11) 99773-7617;1,7;90;AB+
Bryan Caio Kaique Freitas;43;984.903.878-00;19/04/1978;Masculino;Áries;Jennifer Cristiane Priscila;(11) 2858-3540;(11) 98584-8688;1,66;60;AB-
Emanuel Yago Giovanni Rocha;36;233.460.088-19;16/06/1985;Masculino;Gêmeos;Milena Clarice Sandra;(14) 2791-5091;(14) 99734-9395;1,9;68;O+
Camila Aparecida Mariah Galvão;21;050.891.038-28;12/12/2000;Feminino;Sagitário;Maria Beatriz Giovanna;(11) 3555-7764;(11) 99352-1280;1,74;87;O-
Marlene Agatha Carvalho;61;476.406.188-00;05/03/1960;Feminino;Peixes;Nicole Juliana;(19) 2738-9037;(19) 99306-5958;1,84;52;AB-
Rebeca Fernanda Daiane da Cunha;43;638.286.658-02;02/10/1978;Feminino;Libra;Isabela Elza;(19) 2859-5584;(19) 99976-7457;1,73;90;B-
Luiz Mateus Nascimento;56;072.152.548-28;07/07/1965;Masculino;Câncer;Catarina Josefa;(19) 2911-5283;(19) 98223-3145;1,65;104;B+
Juan João Drumond;59;942.250.608-53;25/07/1962;Masculino;Leão;Agatha Andrea Aparecida;(19) 3659-7282;(19) 99955-2365;1,71;79;O+
Clarice Rayssa Duarte;36;795.612.228-76;15/02/1985;Feminino;Aquário;Aline Eliane Stella;(19) 3884-4617;(19) 98231-5906;1,53;47;AB+
Arthur Bento Benício Cardoso;25;408.269.748-99;19/03/1996;Masculino;Peixes;Isis Caroline Alice;(19) 3630-4659;(19) 98490-6088;1,71;61;AB-
Thiago Guilherme Aragão;21;727.089.108-76;01/06/2000;Masculino;Gêmeos;Aparecida Márcia Manuela;(15) 2655-3504;(15) 98919-6608;1,94;56;A-
Cecília Emanuelly Barbosa;68;359.452.838-35;06/12/1953;Feminino;Sagitário;Andreia Fátima Lavínia;(12) 3673-1864;(12) 98680-7733;1,56;81;A-
Cauê Oliver Ian das Neves;26;336.808.828-90;17/08/1995;Masculino;Leão;Allana Jaqueline Silvana;(18) 3524-3968;(18) 99434-4889;1,68;82;B-
Miguel Yago Porto;59;302.368.598-38;21/04/1962;Masculino;Touro;Stefany Maya Marcela;(11) 3865-8435;(11) 98911-7721;1,94;77;AB-
Nicole Vanessa Bárbara da Rosa;21;791.077.908-99;05/10/2000;Feminino;Libra;Laís Daiane;(19) 3676-4620;(19) 99576-3542;1,84;84;O-
Diego Nelson Alexandre Lima;27;547.510.898-62;01/10/1994;Masculino;Libra;Mirella Lavínia Débora;(11) 2500-7688;(11) 98181-7184;1,78;93;B-
Bento Anderson Lima;67;378.282.448-27;23/08/1954;Masculino;Virgem;Benedita Aurora Manuela;(12) 2995-1268;(12) 98913-1666;1,64;89;AB+
Bryan Guilherme Lucas da Mota;77;305.110.318-74;16/10/1944;Masculino;Libra;Mariah Sophia Luana;(13) 2863-1132;(13) 99592-0367;1,83;80;B+
Benício Roberto Monteiro;21;774.151.518-79;01/12/2000;Masculino;Sagitário;Luciana Raimunda Silvana;(15) 2829-9331;(15) 99214-6079;1,92;81;AB+
Bento Benício Ribeiro;27;032.000.658-18;07/05/1994;Masculino;Touro;Jéssica Giovana;(11) 3573-6860;(11) 99705-1155;1,85;82;B+
Sara Sandra Fernandes;61;213.002.348-73;16/02/1960;Feminino;Aquário;Agatha Analu Rebeca;(11) 2929-6890;(11) 98876-1851;1,65;73;O-
Marina Marlene Freitas;73;139.484.438-74;20/11/1948;Feminino;Escorpião;Daniela Allana Mariana;(19) 3832-7614;(19) 98764-4438;1,77;78;O-
Erick Carlos Eduardo Kauê Nogueira;69;389.100.678-02;11/06/1952;Masculino;Gêmeos;Emily Tânia;(12) 2607-0900;(12) 98683-8764;1,61;74;A-
Fabiana Elaine da Luz;44;546.968.028-25;03/04/1977;Feminino;Áries;Rita Heloisa;(17) 2975-1111;(17) 98862-5797;1,79;67;A-
Helena Gabriela Cavalcanti;46;674.888.138-20;02/04/1975;Feminino;Áries;Teresinha Aline;(17) 3942-0561;(17) 99387-7041;1,71;69;B+
Milena Jéssica Fogaça;60;516.885.278-50;23/07/1961;Feminino;Leão;Rita Sophia Cláudia;(11) 2801-7695;(11) 98351-3356;1,65;79;A+
Joana Sabrina Drumond;26;104.151.188-40;15/08/1995;Feminino;Leão;Allana Emily Carolina;(19) 3700-8242;(19) 99748-5239;1,73;62;AB+
Thales Oliver Porto;51;076.444.658-47;10/06/1970;Masculino;Gêmeos;Clara Gabrielly;(11) 3605-0895;(11) 98141-2745;1,67;90;AB+
Caio Renan Rocha;69;342.190.228-30;25/12/1952;Masculino;Capricórnio;Antonella Alana Tereza;(11) 3583-3164;(11) 98441-0711;1,63;70;A-
Iago Victor Pinto;44;736.599.078-39;09/08/1977;Masculino;Leão;Laís Rayssa;(19) 2891-3791;(19) 99390-6817;1,67;83;B+
Luiza Sophia Beatriz Drumond;26;646.397.628-87;21/04/1995;Feminino;Touro;Daiane Antônia;(12) 2651-4710;(12) 98560-2955;1,68;61;A-
Francisca Daiane Pereira;25;798.975.408-81;01/11/1996;Feminino;Escorpião;Emily Débora Rita;(19) 2569-7224;(19) 99701-9901;1,6;72;O+
Laura Lara Agatha Nogueira;25;761.640.468-58;21/07/1996;Feminino;Câncer;Milena Tatiane Kamilly;(11) 3610-0623;(11) 98591-2798;1,51;88;AB+
Pietro Bruno Augusto da Rosa;67;342.343.898-38;04/09/1954;Masculino;Virgem;Alana Rafaela;(15) 2788-4911;(15) 98488-6162;1,87;89;A+
Andreia Allana Almada;21;452.260.918-34;03/03/2000;Feminino;Peixes;Isabelly Mariane;(11) 3699-3885;(11) 98122-6101;1,74;76;AB+
Raimundo Ian Santos;22;530.164.698-20;08/05/1999;Masculino;Touro;Raquel Caroline Priscila;(11) 2687-9203;(11) 99449-2724;2;102;O-
Raquel Liz Luciana da Cruz;60;089.600.918-12;04/02/1961;Feminino;Aquário;Antonella Yasmin Rafaela;(19) 3760-0923;(19) 99729-7783;1,63;60;AB+
Tereza Aline Catarina Almeida;27;490.564.118-70;13/11/1994;Feminino;Escorpião;Fabiana Isabelle Letícia;(11) 3632-2699;(11) 98154-9398;1,78;82;O+
Sophia Andreia Benedita Monteiro;46;769.336.078-60;11/04/1975;Feminino;Áries;Maya Giovana;(11) 2902-6478;(11) 99202-5103;1,75;84;O+
Luiz Anthony Nelson Campos;61;674.624.788-03;20/03/1960;Masculino;Peixes;Esther Mariah;(19) 3723-3872;(19) 98505-4978;1,69;99;A+
Rebeca Rosa Rezende;37;864.886.358-91;14/09/1984;Feminino;Virgem;Isabelle Sebastiana;(11) 3556-9189;(11) 98487-0243;1,5;53;B-
Alana Camila Araújo;21;965.488.398-89;24/04/2000;Feminino;Touro;Teresinha Carolina Rebeca;(19) 2890-2480;(19) 99375-9367;1,63;82;A-
Carlos Eduardo Hugo da Rosa;45;651.258.888-69;22/06/1976;Masculino;Câncer;Clara Stella Laura;(11) 2735-4281;(11) 98424-8741;1,72;92;O-
Vitor Bernardo Diego Araújo;36;090.534.358-16;12/08/1985;Masculino;Leão;Daiane Cristiane;(19) 2557-0818;(19) 99704-9165;1,97;77;A-
Antonio Lorenzo Monteiro;25;494.553.868-95;24/02/1996;Masculino;Peixes;Heloise Manuela;(19) 2663-4524;(19) 98338-2593;1,91;55;O-
Raimundo Tomás Duarte;26;725.019.528-04;14/09/1995;Masculino;Virgem;Cecília Lívia Daiane;(13) 3858-4739;(13) 99110-5975;1,91;79;O-
André Sebastião Bruno Aragão;50;650.347.298-65;08/02/1971;Masculino;Aquário;Mariane Lívia;(11) 2865-5438;(11) 99526-6703;1,68;50;A-
Alessandra Regina da Cunha;67;458.974.298-55;05/05/1954;Feminino;Touro;Maitê Rosângela Sophie;(19) 2552-4899;(19) 99134-3803;1,8;67;AB+
Geraldo Guilherme Benício da Costa;59;304.710.348-86;23/06/1962;Masculino;Câncer;Nicole Bianca;(17) 3858-8256;(17) 98148-0635;1,83;79;AB-
Pedro André Leonardo Corte Real;20;722.127.968-38;20/02/2001;Masculino;Peixes;Lavínia Melissa Bárbara;(12) 2666-0755;(12) 98749-9727;1,69;99;B-
Rita Giovanna Betina Teixeira;78;887.595.858-03;11/05/1943;Feminino;Touro;Esther Allana Lavínia;(11) 2691-3854;(11) 99869-0358;1,64;52;AB-
Fabiana Cláudia Nicole da Rocha;26;421.872.648-58;06/03/1995;Feminino;Peixes;Gabriela Francisca;(12) 3620-1745;(12) 99791-0168;1,53;56;A+
Tânia Eduarda Adriana da Cruz;78;740.440.808-36;21/08/1943;Feminino;Leão;Francisca Marcela Cecília;(11) 2557-6426;(11) 98898-9639;1,6;70;B-
Benjamin Vinicius Silva;21;781.534.208-60;08/08/2000;Masculino;Leão;Tereza Kamilly Marlene;(19) 2934-8952;(19) 99685-5576;1,67;76;O+
Camila Luiza Andreia Monteiro;68;843.736.208-30;17/09/1953;Feminino;Virgem;Stella Joana Isis;(12) 2660-7160;(12) 99709-7755;1,62;55;O-
Marcos Diogo Moura;27;197.746.748-20;06/06/1994;Masculino;Gêmeos;Nair Milena;(15) 3565-8793;(15) 98631-8062;1,8;95;O-
Iago Rodrigo Fernandes;51;192.471.178-87;17/02/1970;Masculino;Aquário;Laura Natália Giovanna;(11) 2716-2591;(11) 99481-4637;1,92;61;B-
Clarice Renata Carolina Farias;50;419.107.818-60;03/11/1971;Feminino;Escorpião;Nina Marli;(11) 3892-7895;(11) 99544-1627;1,69;62;A+
Sophia Bárbara Mariah Dias;26;493.522.158-50;05/07/1995;Feminino;Câncer;Pietra Mirella Cecília;(19) 3694-9985;(19) 99461-0014;1,52;69;O+
Ayla Fátima Melo;26;566.032.458-41;02/03/1995;Feminino;Peixes;Priscila Luzia Letícia;(11) 3578-5914;(11) 98864-6448;1,85;83;A-
Raimunda Débora Brito;25;942.619.508-47;24/04/1996;Feminino;Touro;Heloisa Hadassa;(19) 2648-6613;(19) 98563-2623;1,82;45;O-
Isadora Milena Assunção;45;616.041.918-80;25/10/1976;Feminino;Escorpião;Simone Mariah;(11) 2879-8639;(11) 98804-7309;1,52;84;AB+
Marli Luciana Laís Viana;25;166.186.188-19;16/05/1996;Feminino;Touro;Luana Heloise;(11) 2601-3962;(11) 99313-9818;1,74;73;O-
Vinicius Felipe Luiz Bernardes;27;826.568.378-20;16/03/1994;Masculino;Peixes;Isabelle Cecília;(19) 3931-6936;(19) 98730-8607;1,97;103;AB+
Yago Bento Silva;68;135.133.988-59;10/03/1953;Masculino;Peixes;Daniela Isadora;(11) 3924-5321;(11) 98318-4426;1,64;62;A+
Larissa Louise Barbosa;25;390.296.388-34;15/05/1996;Feminino;Touro;Luana Fernanda Marcela;(11) 2591-7164;(11) 99737-9745;1,63;51;B-
Ricardo Ryan Alexandre Oliveira;67;172.192.278-41;13/12/1954;Masculino;Sagitário;Marlene Alícia;(11) 2706-2746;(11) 99883-0258;1,75;51;B+
Jaqueline Evelyn Rodrigues;25;103.324.718-96;20/09/1996;Feminino;Virgem;Sabrina Brenda;(11) 2781-3461;(11) 98547-3565;1,78;68;B+
Gabriela Evelyn Melo;61;136.716.538-50;02/07/1960;Feminino;Câncer;Evelyn Teresinha Rafaela;(19) 2532-0574;(19) 99519-0570;1,65;51;AB+
Luan Osvaldo Nicolas Barros;27;938.992.828-17;05/12/1994;Masculino;Sagitário;Nair Marcela Bianca;(16) 2543-1764;(16) 98560-0329;1,76;110;AB-
Antônia Brenda Assunção;73;552.102.688-61;23/11/1948;Feminino;Sagitário;Nicole Antônia Mariane;(15) 2990-1980;(15) 98497-3233;1,5;59;O+
Pedro Henry Benjamin Silveira;78;438.914.428-66;23/11/1943;Masculino;Sagitário;Bianca Valentina Raquel;(11) 3947-7782;(11) 99453-6701;1,68;66;AB-
Kauê Nathan Enrico Porto;31;166.787.938-38;13/07/1990;Masculino;Câncer;Regina Mirella;(19) 3817-6186;(19) 98953-9990;1,75;59;B+
Danilo Kaique Henry Monteiro;24;911.986.968-18;27/11/1997;Masculino;Sagitário;Marina Ayla;(19) 3778-7266;(19) 99992-8344;1,94;84;O+
Jennifer Marina Sarah da Cunha;67;986.497.188-33;24/07/1954;Feminino;Leão;Luzia Patrícia Vanessa;(11) 2633-8085;(11) 98917-4231;1,51;90;AB-
Sara Elaine Pires;51;023.013.128-01;21/04/1970;Feminino;Touro;Alice Evelyn;(11) 3640-2882;(11) 99312-6372;1,68;54;B+
Priscila Yasmin Ayla de Paula;26;952.698.058-12;06/01/1995;Feminino;Capricórnio;Lorena Rosa;(19) 2747-6629;(19) 98750-2344;1,65;83;B-
Vitória Valentina Carolina Silva;25;747.026.878-24;17/02/1996;Feminino;Aquário;Flávia Caroline Ayla;(18) 2719-6031;(18) 98269-3146;1,6;58;AB-
Luiza Stefany Lopes;50;307.842.008-66;05/03/1971;Feminino;Peixes;Juliana Liz Caroline;(11) 3723-1286;(11) 98774-0914;1,66;61;B+
Bento Tiago Ian Oliveira;60;542.600.638-55;18/06/1961;Masculino;Gêmeos;Camila Isabelly Letícia;(19) 3768-5474;(19) 99621-2059;1,67;66;B-
Caleb Osvaldo Carlos Eduardo da Cruz;27;886.185.898-88;21/08/1994;Masculino;Leão;Silvana Alessandra;(11) 3548-0116;(11) 98117-4641;1,65;87;AB-
Gael Raimundo Roberto da Mata;24;575.902.778-60;23/12/1997;Masculino;Capricórnio;Emilly Isadora;(14) 3912-9617;(14) 98886-8913;1,67;52;AB-
Fátima Hadassa Pires;51;449.535.798-01;18/03/1970;Feminino;Peixes;Alice Rosângela;(11) 2813-8635;(11) 99478-2132;1,66;69;AB-
Julia Tânia da Rocha;31;727.665.638-14;17/03/1990;Feminino;Peixes;Luana Renata Sabrina;(13) 3637-2728;(13) 98740-6601;1,62;46;B-
Isabella Simone Eduarda Galvão;78;245.939.378-41;02/12/1943;Feminino;Sagitário;Cecília Gabrielly;(11) 3968-2108;(11) 98229-9879;1,52;90;O-
Lara Sarah Santos;67;504.893.508-01;21/01/1954;Feminino;Aquário;Emilly Sophie;(11) 3598-5038;(11) 98102-2573;1,84;61;AB-
Henrique Breno Peixoto;59;368.859.518-11;10/10/1962;Masculino;Libra;Heloisa Vanessa Ana;(16) 3763-2929;(16) 98484-4025;1,91;64;AB-
Marlene Pietra Monteiro;22;024.931.298-06;11/11/1999;Feminino;Escorpião;Raimunda Laura Maria;(11) 2825-7763;(11) 98606-4737;1,65;52;B-
Sebastião Matheus Joaquim da Silva;67;479.129.688-57;19/05/1954;Masculino;Touro;Eliane Analu;(19) 2723-3996;(19) 99600-0548;1,76;77;AB-
Larissa Ester Castro;23;631.296.058-78;09/07/1998;Feminino;Câncer;Josefa Clara;(19) 2726-5019;(19) 98153-3785;1,71;73;B-
Marcelo Breno Gonçalves;78;706.901.898-34;24/05/1943;Masculino;Gêmeos;Rosa Andreia;(11) 2857-9122;(11) 99347-6503;1,9;92;AB+
Isadora Evelyn Isabelle Carvalho;73;588.986.208-10;22/12/1948;Feminino;Capricórnio;Lúcia Débora;(11) 3525-9043;(11) 99495-2541;1,81;73;AB+
Betina Ayla Vieira;21;730.749.318-76;23/01/2000;Feminino;Aquário;Stella Maria Camila;(11) 2707-9036;(11) 98852-6780;1,84;81;O+
Vera Silvana Francisca Alves;26;285.610.008-21;06/07/1995;Feminino;Câncer;Mariane Pietra;(19) 2512-6500;(19) 98746-3622;1,83;72;AB-
